f1,f2,f3,f4,f5,class
-306.02853,42.520016,17.120901,29.128525,-0.3560771,3
-380.99042,28.677206,3.518443,14.780416,-6.1865306,3
-297.71045,48.710625,5.9262705,27.208368,-11.117364,3
-295.95972,29.378881,0.8014355,23.376657,-10.380377,3
-306.51428,20.420855,41.292908,30.165932,6.560401,3
-428.02695,39.332447,5.483345,16.165487,-5.6778336,3
-350.47137,71.23512,20.77396,29.321486,-3.5300987,3
-364.98987,11.599577,9.755088,28.774408,18.019985,3
-199.9967,-57.149815,5.421683,63.027237,1.738221,3
-195.30334,17.479551,-40.8825,39.491184,13.633856,3
-120.3901,53.32342,-35.016167,4.148772,-11.668073,3
-218.1613,50.341408,-3.2476082,28.196222,10.267412,3
-221.57869,67.493034,-6.8207765,47.17163,-15.249084,3
-193.63536,47.830723,19.119276,26.491392,2.047949,3
-28.422932,35.52285,-27.999668,6.4302187,-3.091973,3
-505.3438,122.6741,-89.89382,-47.64094,-16.923069,3
-369.62048,121.97508,53.442707,34.254498,19.51084,4
-435.22717,81.12852,45.754303,32.77572,20.292063,4
-385.47687,114.23965,51.328022,33.567772,20.707306,4
-197.03325,132.87503,-6.4807734,34.17262,-5.7379236,4
-160.4945,135.76016,-11.923136,41.28311,1.4240613,4
-259.21817,144.10466,9.2256,32.189213,18.168642,4
-309.09717,29.417603,1.271511,2.217567,-8.053789,4
-134.28036,165.32935,-27.47408,37.692062,23.563137,4
-326.705,104.1947,9.160133,51.40956,35.86982,4
-417.0994,50.403736,36.89417,33.501312,23.76774,4
-292.561,47.054367,26.066122,19.77682,5.685999,4
-369.79587,81.90232,55.561665,33.58571,24.058441,4
-426.58865,65.71057,39.884727,33.378536,19.383177,4
-432.25436,69.73549,39.007538,38.73429,18.695147,4
-432.2645,69.72166,38.993984,38.721382,18.68293,4
-78.117676,83.68534,-14.034694,38.890797,-2.5984697,4
-131.7475,90.14466,-4.890551,35.114548,-2.804071,4
-163.02036,79.472275,-1.1430253,26.994047,-10.053232,4
-317.28098,93.53754,85.566795,68.258446,31.302942,4
-290.813,113.66158,88.671844,52.501377,15.43119,4
-276.46744,131.15173,82.897224,24.147945,-11.236936,4
-262.30902,146.68286,60.9994,-6.419084,-20.998585,4
-346.7846,81.24788,-15.868712,23.90462,-7.724017,4
-250.57272,89.502655,13.2482195,49.350227,10.014437,4
-166.41003,89.96854,-10.600723,37.24588,-14.960412,4
-285.41248,69.747604,21.000553,61.00744,0.48877388,4
-471.28275,59.642746,37.008102,34.740936,24.643007,4
-265.6405,92.456825,13.808351,42.009293,3.6560469,4
-345.53616,123.85488,22.625957,40.387737,16.241667,4
-258.02142,113.36122,-72.88072,25.558187,37.95393,4
-455.9724,79.32045,28.163448,43.961502,19.656555,4
-310.7716,75.1286,-27.78073,79.01036,26.567583,4
-187.35712,48.837402,-5.7897863,19.11753,-7.970702,4
-432.25436,69.73549,39.007538,38.73429,18.695147,4
-268.75665,54.23987,-9.636496,-10.181752,-22.930727,4
0.9314314,-11.881182,-14.62347,16.481455,-4.5801024,4
-53.737186,-9.152216,-8.075131,40.340416,8.692051,4
-417.13538,50.352737,36.843185,33.450356,23.71682,4
